certificateType,registeredPersonNumber,accreditationCode,generationYear,generationState,startSerialNumber,endSerialNumber,fuelSource,ownerAccount,ownerAccountId,status
STC,18454,PVD2585235,2016,VIC,1,79,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
STC,14071,PVD2569393,2016,QLD,1,134,S.G.U. - solar (deemed),FORMBAY TRADING PTY LTD,31996,Invalid due to audit
STC,12976,PVD2568140,2016,NSW,1,114,S.G.U. - solar (deemed),Tim Andrew Baker t/a Apex Solar,30358,Registered
STC,12976,PVD2568140,2016,NSW,1,114,S.G.U. - solar (deemed),Tim Andrew Baker t/a Apex Solar,30358,Pending STC clearing house sale
STC,12976,PVD2568140,2016,NSW,1,114,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,18454,PVD2585204,2016,QLD,1,134,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
STC,13854,PVD2583213,2016,QLD,1,310,S.G.U. - solar (deemed),Lynne Wilson (L.C Wilson and R.J Henderson Partnership) T/A Cooloola Solar Systems,31060,Pending STC clearing house sale
STC,13854,PVD2583213,2016,QLD,1,310,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,18454,PVD2585227,2016,SA,1,62,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
STC,10673,PVD2585228,2016,VIC,1,55,S.G.U. - solar (deemed),Trade In Green Pty Ltd,25062,Pending audit
STC,13712,PVD2569497,2016,VIC,1,71,S.G.U. - solar (deemed),CSR Building Products Limited,32078,Invalid due to audit
LGC,14,HY00TA02,2011,TAS,32775,33101,Hydro,Arcadia Energy Trading Pty Ltd,7540,Registered
LGC,14,HY00TA02,2011,TAS,33570,33767,Hydro,Arcadia Energy Trading Pty Ltd,7540,Registered
STC,13712,PVD2569498,2016,VIC,1,35,S.G.U. - solar (deemed),CSR Building Products Limited,32078,Invalid due to audit
STC,13712,PVD2569499,2016,VIC,1,74,S.G.U. - solar (deemed),CSR Building Products Limited,32078,Invalid due to audit
STC,2552,PVD2585229,2016,WA,1,134,S.G.U. - solar (deemed),Green Energy Trading Pty Ltd,8020,Pending audit
STC,19256,PVD2583047,2016,NSW,1,89,S.G.U. - solar (deemed),Salesvision Pty Ltd TA Solar Spirit,38884,Registered
STC,13712,PVD2569500,2016,VIC,1,35,S.G.U. - solar (deemed),CSR Building Products Limited,32078,Invalid due to audit
STC,19256,PVD2583047,2016,NSW,1,89,S.G.U. - solar (deemed),Salesvision Pty Ltd TA Solar Spirit,38884,Pending STC clearing house sale
STC,19256,PVD2583047,2016,NSW,1,89,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,125,PVD2585205,2016,NSW,1,467,S.G.U. - solar (deemed),AGL Energy Services Pty Limited,949,Pending audit
STC,13712,PVD2569502,2016,VIC,1,92,S.G.U. - solar (deemed),CSR Building Products Limited,32078,Invalid due to audit
STC,10232,SW2585236,2016,QLD,1,28,S.W.H. - solar (deemed),Solar Pays Pty Ltd,20222,Pending audit
STC,20507,SW2568337,2016,VIC,1,25,S.W.H. - solar (deemed),Chromagen Australia Pty Ltd,40356,Invalid due to audit
STC,18454,PVD2585237,2016,SA,1,64,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
STC,2552,PVD2585230,2016,VIC,1,531,S.G.U. - solar (deemed),Green Energy Trading Pty Ltd,8020,Pending audit
STC,16688,PVD2563678,2016,WA,1,96,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2563733,2016,WA,1,107,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2563765,2016,WA,1,107,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2565312,2016,WA,1,134,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2565878,2016,WA,1,75,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2577721,2016,WA,1,44,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2582294,2016,WA,1,122,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2582315,2016,WA,1,75,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2583429,2016,WA,1,43,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2583430,2016,WA,1,134,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2583513,2016,WA,1,122,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2583432,2016,SA,1,129,S.G.U. - solar (deemed),SOLA NOW PTY LTD,34003,Pending STC clearing house sale
STC,16688,PVD2563678,2016,WA,1,96,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2563733,2016,WA,1,107,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2563765,2016,WA,1,107,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2565312,2016,WA,1,134,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2565878,2016,WA,1,75,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2577721,2016,WA,1,44,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2582294,2016,WA,1,122,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2582315,2016,WA,1,75,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2583429,2016,WA,1,43,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2583430,2016,WA,1,134,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2583513,2016,WA,1,122,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,16688,PVD2583432,2016,SA,1,129,S.G.U. - solar (deemed),The Clean Energy Regulator,241,Invalid due to STC clearing house deficit
STC,12666,PVD2585231,2016,QLD,1,137,S.G.U. - solar (deemed),Gold Coast Solar Power Solutions P/L,30290,Pending audit
LGC,21810,WD00SA18,2016,SA,77284,106897,Wind,HWF1 Pty Ltd,41789,Pending creation fee payment
STC,5574,PVD2585206,2016,QLD,1,621,S.G.U. - solar (deemed),Solgen Energy Pty Ltd,13762,Pending audit
STC,10673,PVD2585207,2016,NSW,1,53,S.G.U. - solar (deemed),Trade In Green Pty Ltd,25062,Pending audit
STC,10673,PVD2585208,2016,VIC,1,425,S.G.U. - solar (deemed),Trade In Green Pty Ltd,25062,Pending audit
STC,88,SW2585232,2016,QLD,1,31,S.W.H. - air source heat pump (deemed),Quantum Energy Technologies Pty Ltd,834,Pending audit
STC,88,SW2585253,2016,NSW,1,31,S.W.H. - air source heat pump (deemed),Quantum Energy Technologies Pty Ltd,834,Pending audit
LGC,19479,SRPVAC06,2016,ACT,29245,33404,Solar,Royalla Solar Farm Pty Limited,39194,Pending creation fee payment
STC,18454,PVD2585254,2016,VIC,1,80,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
STC,2552,SW2585255,2016,VIC,1,36,S.W.H. - solar (deemed),Green Energy Trading Pty Ltd,8020,Pending audit
STC,18454,PVD2585256,2016,VIC,1,64,S.G.U. - solar (deemed),Emerging Energy Solutions Group Pty Ltd,35465,Pending audit
LGC,2932,WD00VC09,2016,VIC,543463,598394,Wind,Pyrenees Wind Energy Developments Pty Ltd,8960,Pending creation fee payment
