certificateType,registeredPersonNumber,accreditationCode,generationYear,generationState,startSerialNumber,endSerialNumber,fuelSource,ownerAccount,ownerAccountId,status
STC,9552,SW2368447,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,PVD2375851,2015,NSW,1,124,S.G.U. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,PVD2377182,2015,NSW,1,261,S.G.U. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,SW2367877,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,SW2367879,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,SW2367880,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,SW2374643,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,PVD2376291,2015,VIC,1,175,S.G.U. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,SW2376336,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,SW2376337,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Registered
STC,9552,SW2367877,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,SW2367879,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,SW2367880,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,SW2368447,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,SW2374643,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,18454,SW2370220,2015,QLD,32,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,PVD2375851,2015,NSW,1,124,S.G.U. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,PVD2376291,2015,VIC,1,175,S.G.U. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,SW2376336,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,9552,SW2376337,2015,WA,1,36,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,18454,SW2369965,2015,QLD,1,25,S.W.H. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
STC,18454,PVD2371213,2015,SA,231,285,S.G.U. - solar (deemed),Demand Manager Pty Ltd,20122,Pending STC clearing house sale
